,"auratus 1 (P. ardens)","auratus 2 (P. awbalus)","chrysopae (P. khor)","laticeps (P. zelliger)","Tristis 3 159089 (P. sarabus)","tristis 2 (P. houbaraensis)","tristis 1 (P. yemenensis)"
"dummy31(Midlobe of mesoscutum punctures):with rounded, shallow punctures and narrow interspaces coalesced to form weak rugae along pronotum;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with rounded, shallow punctures and narrow interspaces;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with rounded, shallow punctures and narrow interspaces often coalesced to form weak rugae;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with arcuate transverse rugae;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with large, round punctures and very wide coriarious interspaces;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with very wide angulate punctures and very narrow, weakly coriarious interspaces.",0,0,1,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with weak angulate punctures and narrow interspaces;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with large, deep rounded punctures and wide coriarious interspaces;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with small round, shallow punctures and wide mostly glabrous interspaces, often reticulate along pronotum;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with small round, shallow punctures and wide mostly glabrous interspaces;",0,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with very large angulate punctures and narrow interspaces, wider anterad.",1,0,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with very large angulate punctures and narrow interspaces, wider and coriarious anterad.",0,1,0,0,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with small round punctures and wide coriarious interspaces.",0,0,0,0,0,0,1
"dummy31(Midlobe of mesoscutum punctures):with small round punctures and very wide coriarious interspaces.",0,0,0,0,0,1,0
"dummy31(Midlobe of mesoscutum punctures):with weakly angulate punctures and narrow reticulate interspaces;",0,0,0,1,0,0,0
"dummy31(Midlobe of mesoscutum punctures):with large round punctures and wide interspaces, glabrous to weakly coriarious along midline and coriaceous along periphery.",0,0,0,0,1,0,0
"Lateral lobe of mesoscutum:glabrous along notauli;",0,0,1,1,1,1,1
"Lateral lobe of mesoscutum:weakly coriarious;",0,0,0,0,0,0,0
"Lateral lobe of mesoscutum:coriarious;",0,0,0,0,0,0,0
"Lateral lobe of mesoscutum:strongly rugulose along notauli;",0,1,0,0,0,0,0
"Lateral lobe of mesoscutum:weakly rugulose along notauli;",1,0,0,0,0,0,0
"Lateral lobe of mesoscutum:very weakly coriarious to glabrous;",0,0,0,0,0,0,0
"Lateral lobe of mesoscutum:weakly coriarious, glabrous anteriorad;",0,0,0,0,0,0,0
"Lateral lobe of mesoscutum:strongly coriarious, with weak angulate punctures and wide coriaceous interspaces.",0,0,0,0,0,0,0
"dummy30(laterad sculpture):rugulose-punctate.",1,1,1,0,0,0,0
"dummy30(laterad sculpture):coriarious-punctate.",0,0,0,1,1,1,1
"dummy30 (punctures):angulate to rounded punctures, interspaces narrow, glabrous;",0,0,0,0,0,0,0
"dummy30 (punctures):rounded punctures, interspaces narrow, coriarious;",0,0,0,0,0,0,0
"dummy30 (punctures):rounded punctures, interspaces wide, coriarious;",0,0,0,0,0,0,0
"dummy30 (punctures):small, rounded punctures, interspaces wide, coriarious;",0,0,0,0,0,0,0
"dummy30 (punctures):small, rounded punctures, interspaces wide, glabrous;",0,0,0,0,0,0,0
"dummy30 (punctures):weak rounded punctures, interspaces narrow, coriarious;",0,0,0,0,0,0,0
"dummy30 (punctures):weak rounded punctures, interstices wide.",0,0,0,0,0,0,0
"dummy30 (punctures):round punctures and wide coriarious and rugulose interspaces.",0,0,0,0,0,0,0
"dummy30 (punctures):weak angulate punctures and narrow coriarious to rugulose interspaces.",0,0,1,0,0,0,0
"dummy30 (punctures):weak angulate punctures and narrow coriarious interspaces.",0,0,0,0,0,0,0
"dummy30 (punctures):small round punctures and narrow coriarious interspaces.",0,0,0,0,0,0,0
"dummy30 (punctures):small round punctures and wide narrow coriarious interspaces.",0,0,0,0,0,0,0
"dummy31 (carina):without posterior carina separating sculpture types;",0,0,0,0,0,0,0
"dummy31 (carina):with short, weak posterior carinae, extended much less than one-half length of sidelobe;",0,0,0,0,0,0,0
"dummy31 (carina):usually without posterior carina separating sculpture types, rarely with short weak carinae or rugae;",0,0,0,0,0,0,0
"dummy31 (carina):with distinct posterior carina separating sculpture types, extended about one-half length of sidelobe;",0,0,0,0,0,0,0
"dummy31 (carina):with multiple short posterior carinae separating sculpture types, extended about one-half length of sidelobe;",0,0,0,0,0,0,0
"dummy32 (scapula):apex of scapula reflexed, acuminate;",0,0,0,0,0,0,0
"dummy32 (scapula):apex of scapula expanded, with weak lobe;",0,0,0,0,0,0,0
"dummy32 (scapula):apex of scapula strongly expanded, a broad hatchet-shaped lobe;",0,0,0,0,0,0,0
"Scutellum:about as long as mesoscutum, SC/MSC approx.1.1;",1,1,1,1,1,1,1
"Scutellum:longer than mesoscutum, SC/MSC 1.2-1.3;",0,0,0,0,0,0,0
"dummy 33(scutellum posterior margin):posterior margin smoothly rounded;",1,1,0,1,1,1,1
"dummy 33(scutellum posterior margin):posterior margin weakly bilobed;",0,0,1,0,0,0,0
"dummy34 (scutellum sculpture):with large, deep rounded punctures and wide coriarious interspaces;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with angulate punctures and narrow interspaces, with a weak ridge along midline;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with rounded  punctures and narrow interspaces;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with angulate punctures and very narrow interspaces.",1,1,0,0,0,0,0
"dummy34 (scutellum sculpture):with round punctures and narrow interspaces;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with large, round punctures and very wide coriarious interspaces;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with weak angulate punctures and narrow interspaces;",0,0,0,0,0,0,0
"dummy34 (scutellum sculpture):with round punctures and wide coriarious interspaces.",0,0,0,0,0,0,1
"dummy34 (scutellum sculpture):with round punctures and very wide coriarious interspaces.",0,0,0,0,0,1,0
"dummy34 (scutellum sculpture):with weakly angulate punctures and narrow reticulate interspaces.",0,0,0,1,0,0,0
"dummy34 (scutellum sculpture):with round punctures and wide glabrous interspaces, coriarious on periphery.",0,0,0,0,1,0,0
"dummy34 (scutellum sculpture):with angulate punctures and very narrow, weakly coriarious interspaces.",0,0,1,0,0,0,0
"Axilla:glabrous dorsad, with oblique costae above transverse ridge, imbricate below with crenulate ventral margin;",0,0,0,0,0,0,0
"Axilla:glabrous to weakly imbricate dorsad, often with oblique costae above transverse ridge, imbricate below with crenulate ventral margin;",0,0,0,0,0,0,0
"Axilla:weakly imbricate dorsad, alveolate above transverse ridge, with transverse rugulae, imbricate below with crenuate ventral margin;",0,0,0,0,0,0,0
"Axilla:weakly imbricate dorsad, alveolate or with oblique costae above transverse ridge, imbricate below with crenuate ventral margin;",0,0,0,0,0,0,0
"Axilla:weakly imbricate dorsad, with oblique costae above transverse ridge, imbricate below with crenulate ventral margin;",0,0,0,0,0,0,0
"Axilla:weakly imbricate dorsad, without costae above transverse ridge, imbricate below with crenulate ventral margin;",0,0,0,0,0,0,0
"Axilla:weakly imbricate, weak fovea above axillar carina, without transverse ridge;",0,0,0,0,0,0,0
"Axilla:punctate dorsad, imbricate below.",1,0,0,0,1,1,1
"Axilla:punctate and imbricate dorsad, imbricate below.",0,0,0,1,0,0,0
"Axilla:densely punctate dorsad, imbricate below.",0,1,1,0,0,0,0
"dummy33 (axilla post carina):with a distinct posterior carina;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):with distinct posterior carina, to mid-height;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):with long posterior carina or with irregular ridge of coalesced fovea;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):with short posterior carina or with irregular ridge of coalesced fovea;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):without distinct posterior carina or ridge;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):without distinct posterior carina, foveate;",0,0,0,0,0,0,0
"dummy33 (axilla post carina):without distinct posterior carina, with irregular ridge of coalesced fovea;",0,0,0,0,0,0,0
"Axillula (need revisit):elongate fingerlike lobe, longer than width at base, glabrous;",0,0,0,0,0,0,0
"Axillula (need revisit):narrow triangular lobe, longer than width at base, with vertical costae;",0,0,0,0,0,0,0
"Axillula (need revisit):triangular fingerlike lobe, upper margin reflexed dorsad at base, with vertical costae;",0,0,0,0,0,0,0
"Axillula (need revisit):short and triangular, only as long as width at base, upper margin reflexed dorsad at base, glabrous;",0,0,0,0,0,0,0
"Axillula (need revisit):short and rounded, only as long as width at base, glabrous;",0,0,0,0,0,0,0
"Axillula (need revisit):equilateral triangular lobe, as long as width at base, glabrous.",1,1,0,0,0,0,0
"Axillula (need revisit):short triangular lobe, shorter than width at base, glabrous.",0,0,1,1,1,1,1
"Metanotum:short, length along midline only about one-half length of propodeum;",0,0,0,0,0,0,0
"Metanotum:long, length along midline about 0.7 length of propodeum;",0,0,0,0,0,0,0
"dummy34 (dorsellum sculpture):dorsellum with two transverse rows of foveae, dorsal foveae weak along midline, separated by narrow coriarious ridge;",0,0,0,0,0,0,0
"dummy34 (dorsellum sculpture):dorsellum with two transverse rows of foveae separated by narrow coriarious ridge;",0,0,0,0,0,0,0
"dummy34 (dorsellum sculpture):dorsellum with two transverse rows of foveae separated by broad coriarious ridge;",0,0,0,0,0,0,0
"Propodeum:length along midline about one-third width of propodeum;",1,1,1,1,1,0,0
"Propodeum:short, length along midline about one-fifth width of propodeum;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area glabrous to weakly imbricate, with single weak fovea along median carina;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area glabrous to weakly imbricate, with weak foveae along median carina;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area glabrous to weakly imbricate, with arcuate costae laterad, with weak foveae along median carina;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area glabrous to weakly imbricate with weak fovea usually with alveolate sculpture along median carina;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area glabrous to weakly imbricate, with arcuate costae laterad, with deep fovea with 3-5 short transverse costae along median carina;",0,0,0,0,0,0,0
"dummy36 (submedian area sculpture)0:submedian area shagreened or glabrous, with weak groove along median carina;",1,1,1,1,1,1,0
"dummy36 (submedian area sculpture)0:submedian area imbricate, with weak groove along median carina;",0,0,0,0,0,0,1
"dummy36 (submedian area sculpture)0:submedian area glabrous, with weak groove along median carina;",0,0,0,0,0,0,0
"dummy35 (laterad sculpture and submedian area shape):imbricate laterad; plicae slightly obliterated laterad, delimited ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,1
"dummy35 (laterad sculpture and submedian area shape):alveolate-rugose laterad; without distinct lateral plicae, delimited ventrad by plicae, dorsad by transverse band of foveae;",1,1,0,0,0,0,0
"dummy35 (laterad sculpture and submedian area shape):delimited laterad and ventrad by plicae and foveae, dorsad by transverse band of foveae and with short median carina;",0,0,0,0,0,0,0
"dummy35 (laterad sculpture and submedian area shape):weakly alveolate-rugose laterad; delimited laterad and ventrad by distinct plicae, dorsad by transverse band of foveae;",0,0,1,0,0,0,0
"dummy35 (laterad sculpture and submedian area shape):glabrous laterad; plicae extensively obliterated laterad, delimited ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,1,1,0
"dummy35 (laterad sculpture and submedian area shape):glabrous laterad; delimited laterad and ventrad by distinct plicae and wide foveae near spiracle, dorsad by transverse band of foveae;",0,0,0,1,0,0,0
"dummy35 (submedian area shape)1:plicae slightly obliterated laterad, delimited ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,0
"dummy35 (submedian area shape)1:alveolate-rugose laterad without distinct lateral plicae, delimited ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,0
"dummy35 (submedian area shape)1:delimited laterad and ventrad by plicae and foveae, dorsad by transverse band of foveae and with short median carina;",0,0,0,0,0,0,0
"dummy35 (submedian area shape)1:alveolate-rugose laterad, delimited laterad and ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,0
"dummy35 (submedian area shape)1:plicae extensively obliterated laterad, delimited ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,0
"dummy35 (submedian area shape)1:delimited laterad by plicae and large foveae near spiracles, ventrad by plicae, dorsad by transverse band of foveae;",0,0,0,0,0,0,0
"dummy35 (callus):callus alveolate-rugose around spiracle and ventrad;",0,0,0,0,0,0,0
"dummy35 (callus):callus with wide foveae around spiracle, glabrous ventrad;",0,0,0,0,0,0,0
"dummy35 (callus):callus with narrow foveae around spiracle, glabrous ventrad;",0,0,0,0,0,0,0
"dummy37 (nucha):glabrous, expanded dorsad, contiguous with narrow or wide median carina, with transverse rugae, median carina shorter than metanotum;",0,0,0,0,0,0,0
"dummy37 (nucha):coriarious, expanded dorsad, contiguous with narrow or wide median carina, with transverse rugae, median carina shorter than metanotum;",0,0,0,0,0,0,0
"dummy37 (nucha):transverse rugae, arcuate and not expanded dorsad;",0,0,0,0,0,0,0
"dummy37 (nucha):nucha rugulose.",1,1,0,0,1,1,1
"dummy37 (nucha):nucha weakly rugulose.",0,0,1,1,0,0,0
"dummy88 (hairs):with long golden hairs;",0,0,0,0,0,0,0
"dummy88 (hairs):with short white hairs;",0,0,0,0,0,0,0
"Forewing(0):hyaline, with yellow venations;",1,1,1,1,1,1,1
"dummy(post marginal vein):postmarginal vein about one-half lengh of marginal vein (0.4-0.5);",0,0,0,0,0,0,0
"dummy(post marginal vein):postmarginal vein short, 0.6-0.7 length of marginal vein, 1.4-1.6 length of stigmal vein.",0,0,0,1,0,0,0
"dummy(post marginal vein):postmarginal vein long,  0.8-0.9 length of marginal vein, 2-3 length of stigmal vein.",0,0,0,0,0,0,0
"dummy(post marginal vein):postmarginal vein very long,  0.8-0.9 length of marginal vein, approx. twice the length of stigmal vein.",1,1,1,0,0,0,0
"dummy(post marginal vein):postmarginal vein very short, 0.5-0.6 length of marginal vein, 0.8-1 length of stigmal vein.",0,0,0,0,0,1,0
"dummy(post marginal vein):postmarginal vein long, 0.8-0.9 length of marginal vein, 1.4-1.6 length of stigmal vein.",0,0,0,0,1,0,1
"dummy8 (parastigma):parastigma smoothly joining marginal and submarginal veins and usually with 3 linear sensilla forming broad triangle;",0,0,0,0,0,0,0
"dummy8 (parastigma):parastigma swollen with weak process and usually 3 tightly grouped sensilla forming equilateral triangle;",0,0,0,0,0,0,0
"dummy8 (parastigma):parastigma swollen with abrupt process and usually 3 tightly grouped sensilla forming equilateral triangle;",0,0,0,0,0,0,0
"dummy9 (uncus):stigmal vein with weak uncus.",0,0,1,0,1,1,1
"dummy9 (uncus):stigmal vein rounded without uncus.",1,1,0,1,0,0,0
"Metasoma(0):profile in lateral view rounded.",0,0,0,0,0,0,0
"Metasoma(0):profile in lateral view angulate.",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):rounded, with a high raised and excavated scale, with strong rugae below, apex deeply cleft and rugose;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):rounded, with a low raised and excavated scale, costate to rugulose, apex weakly emarginate;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):transverse, with a raised, rounded node and transverse costae;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):transverse, with a raised, rounded node and transverse costae, anterior margin weakly excised along midline;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):transverse, with a raised, rounded node and transverse costae, anterior margin deeply cleft along midline;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):short, and straplike, roughened, light brown in colour, without a raised dorsal surface, posterior margin excised;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):petiole short and straplike, glabrous, without raised scale;",1,1,1,1,0,0,0
"Metasoma:dummy9(Petiole):quadrate, coarsely sculptured, without a raised dorsal surface, with large median fovea;",0,0,0,0,0,0,0
"Metasoma:dummy9(Petiole):petiole short with glabrous to weakly rugulose raised scale;",0,0,0,0,1,1,1
"Gs1:with indistinct antecostal sulcus, broad, curved weakly sculptured, with narrow anterior arms articulated with petiole;",0,0,0,0,0,0,0
"Gs1:with distinct antecostal sulcus, broad, curved and heavily sculptured, with narrow anterior arms articulated with petiole;",0,0,0,0,0,0,0
"Gs1:with distinct antecostal sulcus, narrowed behind and heavily sculptured, weaker at apex, with narrow anterior arms articulated with petiole;",0,0,0,0,0,0,0
"Gs1:with large antecostal sulcus, broad, curved and heavily sculptured, with wide anterior arms articulated with petiole;",0,0,0,0,0,0,0
"Gs1:not examined;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite rounded, apex indistinct, weakly emarginate;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite rounded, apex distinct, weakly emarginate;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite triangular, apex narrowly rounded;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite W-shaped, apex weakly strongly cleft;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite narrow, apex truncate;",0,0,0,0,0,0,0
"dummy38 (acrosternite):acrosternite not examined.",0,0,0,0,0,0,0
"Gt2:glabrous, concave, strigose along midline;",0,0,0,0,0,0,0
"Gt2:glabrous, concave, weakly strigose along midline;",0,0,0,0,0,0,0
"Gt2:glabrous, concave, strigose along midline, weakly imbricate laterad;",0,0,0,0,0,0,0
"Gt2:glabrous, concave, weakly coriaceous along petiole;",0,0,0,0,0,0,0
"Gt2:glabrous, posterior margin concave.",1,0,0,0,0,0,0
"Gt2:glabrous, posterior margin weakly concave at middle.",0,0,0,1,1,1,1
"Gt2:weakly wrinkled along midline, weakly imbricate laterad, posterior margin straight.",0,1,0,0,0,0,0
"Gt2:glabrous, posterior margin straight.",0,0,1,0,0,0,0
"dummy39 (groove and nubbins):with median groove and weak lateral protuberances;",0,0,0,0,0,0,0
"dummy39 (groove and nubbins):with very short and weak median groove and weak lateral protuberances;",0,0,0,0,0,0,0
"dummy39 (groove and nubbins):without median groove and lateral protuberances, with weak fold along midline;",0,0,0,0,0,0,0
"dummy39 (groove and nubbins):with deep median groove and distinct lateral protuberances;",0,0,0,0,0,0,0
"dummy39 (groove and nubbins):with median groove, without lateral protuberances;",0,0,0,0,0,0,0
"dummy39 (groove and nubbins):without median groove and lateral protuberances;",0,0,0,0,0,0,0
"Gt3:imbricate-punctuate dorsad and laterad.",0,1,0,0,0,0,0
"Gt3:glabrous.",1,0,0,0,1,0,1
"Gt3:glabrous to weakly imbricate dorsad.",0,0,0,1,0,1,0
"Male:Unknown.",1,1,0,0,0,0,0
"Length(male):approx. 1.5 - 1.7mm.",0,0,0,0,0,0,1
"Length(male):approx. 1.5 - 1.6mm.",0,0,0,0,0,1,0
"Length(male):approx. 1.9 - 2.3mm.",0,0,0,1,0,0,0
"Length(male):approx. 2.0-  2.3mm.",0,0,1,0,0,0,0
"Color(male):similar to female.",0,0,0,1,1,0,1
"Color(male):similar to female except, mesoscutum can have blue reflections.",0,0,0,0,0,0,0
"Color(male):similar to female except, thorax can have strong green-blue reflections.",0,0,1,0,0,0,0
"Color(male):similar to female except, flagellum and tarsi brown or white.",0,0,0,0,0,1,0
"Head(Male):in frontal view more transverse, wider than high, HW/HH approx. 1.3;",0,0,0,0,0,1,1
"dummy1(head dorsal):in dorsal view less transverse, HW/HL 2.1-2.2;",0,0,0,0,0,0,0
"dummy1(head dorsal):in dorsal view less transverse, HW/HL approx. 2.1;",0,0,0,0,0,0,0
"dummy1(head dorsal):more quadrate.",0,0,1,1,1,1,1
"dummy 12(head w vs pronotum w):much wider than pronotum, HW/PW approx. 1.4",0,0,0,1,0,0,0
"Ocelli(male):larger.",0,0,0,1,1,1,1
"Malar space(male):shorter,",0,0,0,0,0,0,1
"Malar space(male):as long as, or shorter.",0,0,0,0,0,1,0
"Malar space(male):shorter.",0,0,0,1,1,0,0
"dummy2(Malar sculpture)1:with stronger coriarious sculpture.",0,0,0,0,0,0,1
"F1:transverse.",0,0,0,0,0,1,0
"Scape(male):about 0.5-0.6 EH;",0,0,0,0,0,1,0
"Scape(male):about 0.5 EH;",0,0,1,1,1,0,1
"dummy39(male scape shape):elongate, length about >5x width above radicle;",0,0,1,0,1,0,0
"dummy39(male scape shape):stout or elongate, length about 4x or >5x width above radicle;",0,0,0,1,0,0,0
"dummy39(male scape shape):weakly stout, length about 4.7x width above radicle;",0,0,0,0,0,0,1
"dummy39(male scape shape):stout or elongate, length about 4.2x or 5x width above radicle;",0,0,0,0,0,1,0
"dummy40(male scape expansion):weakly expanded distad, about 1.1 width above radicle;",0,0,1,0,0,0,0
"dummy40(male scape expansion):slightly expanded distad, about 1.2 width above radicle;",0,0,0,0,0,0,1
"dummy40(male scape expansion):strongly expanded distad, about 1.4 width above radicle;",0,0,0,0,1,1,0
"dummy41(punctuate area coverage):punctures covering about half of scape, PL/SL approx. 0.5.",0,0,0,0,0,1,0
"dummy41(punctuate area coverage):punctures covering about one-fourth of scape, PL/SL 0.2-0.3.",0,0,1,0,0,0,0
"dummy41(punctuate area coverage):punctures covering about one-third of scape, PL/SL 0.3.",0,0,0,0,1,0,0
"dummy41(punctuate area coverage):punctures covering about nearly half of scape, PL/SL 0.4.",0,0,0,1,0,0,1
"Mesosoma(male):more elongate, length approx. 1.5 maximum width.",0,0,0,0,1,0,0
"Mesosoma(male):more elongate, length approx. 1.4 maximum width.",0,0,0,0,0,0,1
"Mesosoma(male):more elongate, length approx. 1.3-1.4 maximum width.",0,0,0,0,0,1,0
"Propodeum submedian area sculpture(male):glabrous to weakly imbricate.",0,0,0,0,0,0,0
"Propodeum submedian area sculpture(male):rugose-imbricate, with strong foveae along median carina.",0,0,1,0,0,0,0
"Gt3 (Male):weakly imbricate dorsad.",0,0,0,0,0,0,1
"Gt3 (Male):glabrous or imbricate dorsad.",0,0,1,0,0,0,0
